
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100     1,972,000         162,587,769             56,918                   0                  0        13,834,838          214,658            19,720         1,625,308                 0        136,201                         82     0
       100     1,985,600         163,230,973             56,918                   0                  0        13,569,951          214,658            19,856         1,631,740                 0        133,552                         82     0
       100     1,999,200         163,887,775             56,918                   0                  0        12,459,548          214,658            19,992         1,638,308                 0        122,448                         81     0
       100     2,012,800         164,532,670             56,918                   0                  0        11,778,370          214,658            20,128         1,644,757                 0        115,637                         81     0
       100     2,026,400         165,182,672             56,918                   0                  0        12,792,064          214,658            20,264         1,651,257                 0        125,774                         81     0
       100     2,040,000         165,832,680             56,918                   0                  0        12,155,222          214,658            20,400         1,657,757                 0        119,405                         81     0
       100     2,053,600         166,475,873             56,918                   0                  0        10,960,167          214,658            20,536         1,664,189                 0        107,455                         81     0
       100     2,067,200         167,127,571             56,918                   0                  0        11,283,869          214,658            20,672         1,670,706                 0        110,692                         80     0
       100     2,080,800         167,782,670             56,918                   0                  0        11,561,600          214,658            20,808         1,677,257                 0        113,469                         80     0
       100     2,094,400         168,417,370             56,918                   0                  0        11,640,551          214,658            20,944         1,683,604                 0        114,258                         80     0
       100     2,108,000         169,072,473             56,918                   0                  0        12,873,249          214,658            21,080         1,690,155                 0        126,585                         80     0
       100     2,121,600         169,720,775             56,918                   0                  0        11,763,165          214,658            21,216         1,696,638                 0        115,485                         79     0
       100     2,135,200         170,374,169             56,918                   0                  0        14,123,957          214,658            21,352         1,703,172                 0        139,092                         79     0
       100     2,148,800         171,017,369             56,918                   0                  0        12,536,407          214,658            21,488         1,709,604                 0        123,217                         79     0
       100     2,162,400         171,660,573             56,918                   0                  0        12,861,066          214,658            21,624         1,716,036                 0        126,464                         79     0
       100     2,176,000         172,308,871             56,918                   0                  0        12,409,681          214,658            21,760         1,722,519                 0        121,950                         79     0
       100     2,189,600         172,963,968             56,918                   0                  0        12,826,276          214,658            21,896         1,729,070                 0        126,116                         78     0
       100     2,203,200         173,610,566             56,918                   0                  0        11,724,684          214,658            22,032         1,735,536                 0        115,100                         78     0
       100     2,216,800         174,265,673             56,918                   0                  0        12,845,286          214,658            22,168         1,742,087                 0        126,306                         78     0
       100     2,230,400         174,905,474             56,918                   0                  0        13,537,711          214,658            22,304         1,748,485                 0        133,230                         78     0
       100     2,244,000         175,553,780             56,918                   0                  0        13,614,542          214,658            22,440         1,754,968                 0        133,998                         78     0
       100     2,257,600         176,213,972             56,918                   0                  0        11,994,213          214,658            22,576         1,761,570                 0        117,795                         78     0
       100     2,271,200         176,853,744             56,918                   0                  0        15,213,812          214,658            22,712         1,767,968                 0        149,991                         77     0
       100     2,284,800         177,500,339             56,918                   0                  0        15,443,095          214,658            22,848         1,774,434                 0        152,284                         77     0
       100     2,298,400         178,146,971             56,918                   0                  0        15,152,776          214,658            22,984         1,780,900                 0        149,381                         77     0
       100     2,312,000         178,800,342             56,918                   0                  0        15,476,562          214,658            23,120         1,787,434                 0        152,619                         77     0
       100     2,325,600         179,443,576             56,918                   0                  0        14,944,663          214,658            23,256         1,793,866                 0        147,300                         77     0
       100     2,339,200         180,096,978             56,918                   0                  0        14,704,756          214,658            23,392         1,800,400                 0        144,900                         76     0
       100     2,352,800         180,738,469             56,918                   0                  0        15,012,740          214,658            23,528         1,806,815                 0        147,980                         76     0
       100     2,366,400         181,388,473             56,918                   0                  0        15,428,111          214,658            23,664         1,813,315                 0        152,134                         76     0
       100     2,380,000         182,036,772             56,918                   0                  0        14,820,842          214,658            23,800         1,819,798                 0        146,061                         76     0
       100     2,393,600         182,683,412             56,918                   0                  0        14,868,954          214,658            23,936         1,826,264                 0        146,542                         76     0
       100     2,407,200         183,335,068             56,918                   0                  0        14,258,563          214,658            24,072         1,832,781                 0        140,439                         76     0
       100     2,420,800         183,978,275             56,918                   0                  0        14,727,903          214,658            24,208         1,839,213                 0        145,132                         75     0
       100     2,434,400         184,628,277             56,918                   0                  0        15,024,050          214,658            24,344         1,845,713                 0        148,093                         75     0
       100     2,448,000         185,285,073             56,918                   0                  0        15,917,800          214,658            24,480         1,852,281                 0        157,031                         75     0
       100     2,461,600         185,924,873             56,918                   0                  0        14,838,863          214,658            24,616         1,858,679                 0        146,242                         75     0
       100     2,475,200         186,569,775             56,918                   0                  0        15,973,959          214,658            24,752         1,865,128                 0        157,593                         75     0
       100     2,488,800         187,228,268             56,918                   0                  0        14,897,710          214,658            24,888         1,871,713                 0        146,830                         75     0
       100     2,502,400         187,868,044             56,918                   0                  0        17,373,400          214,658            25,024         1,878,111                 0        171,587                         75     0
       100     2,516,000         188,523,173             56,918                   0                  0        16,665,383          214,658            25,160         1,884,662                 0        164,507                         74     0
       100     2,529,600         189,168,074             56,918                   0                  0        14,015,308          214,658            25,296         1,891,111                 0        138,006                         74     0
       100     2,543,200         189,814,672             56,918                   0                  0        14,196,363          214,658            25,432         1,897,577                 0        139,817                         74     0
       100     2,556,800         190,464,674             56,918                   0                  0        16,274,953          214,658            25,568         1,904,077                 0        160,602                         74     0
       100     2,570,400         191,114,672             56,918                   0                  0        15,063,690          214,658            25,704         1,910,577                 0        148,490                         74     0
       100     2,584,000         191,764,669             56,918                   0                  0        16,678,953          214,658            25,840         1,917,077                 0        164,642                         74     0
       100     2,597,600         192,404,517             56,918                   0                  0        17,136,104          214,658            25,976         1,923,475                 0        169,214                         74     0
       100     2,611,200         193,056,176             56,918                   0                  0        16,228,377          214,658            26,112         1,929,992                 0        160,137                         73     0
       100     2,624,800         193,702,775             56,918                   0                  0        17,474,351          214,658            26,248         1,936,458                 0        172,596                         73     0
       100     2,638,400         194,356,172             56,918                   0                  0        18,170,110          214,658            26,384         1,942,992                 0        179,554                         73     0
       100     2,652,000         195,002,772             56,918                   0                  0        15,864,587          214,658            26,520         1,949,458                 0        156,499                         73     0
       100     2,665,600         195,656,175             56,918                   0                  0        17,367,650          214,658            26,656         1,955,992                 0        171,529                         73     0
       100     2,679,200         196,306,145             56,918                   0                  0        15,628,465          214,658            26,792         1,962,492                 0        154,138                         73     0
       100     2,692,800         196,954,437             56,918                   0                  0        15,527,494          214,658            26,928         1,968,975                 0        153,128                         73     0
       100     2,706,400         197,590,872             56,918                   0                  0        16,921,900          214,658            27,064         1,975,339                 0        167,072                         72     0
       100     2,720,000         198,245,975             56,918                   0                  0        16,544,704          214,658            27,200         1,981,890                 0        163,300                         72     0
